traveler_id,trip_id,segment_type,departure_date,origin,destination,cabin_class,distance_km,duration_nights,vendor,amount,currency
EMP001,TRIP-2401,AIR,2024-01-08,LHR,FRA,ECONOMY,,,,320,GBP
EMP001,TRIP-2401,HOTEL,2024-01-08,,FRA,,,2,Marriott Frankfurt,480,GBP
EMP001,TRIP-2401,AIR,2024-01-10,FRA,LHR,ECONOMY,,,easyJet,280,GBP
EMP002,TRIP-2402,AIR,2024-01-15,LHR,JFK,BUSINESS,,,,2400,GBP
EMP002,TRIP-2402,HOTEL,2024-01-15,,JFK,,,3,Hilton Midtown,1200,USD
EMP002,TRIP-2402,AIR,2024-01-18,JFK,LHR,BUSINESS,,,,2200,GBP
EMP003,TRIP-2403,AIR,2024-02-05,LHR,AMS,ECONOMY,,,KLM,180,GBP
EMP003,TRIP-2403,AIR,2024-02-06,AMS,LHR,ECONOMY,,,KLM,175,GBP
EMP004,TRIP-2404,CAR,2024-02-12,LHR,MAN,,380,,,95,GBP
EMP001,TRIP-2405,AIR,2024-03-10,LHR,EDI,ECONOMY,,,BA,210,GBP
EMP001,TRIP-2405,HOTEL,2024-03-10,,EDI,,,1,Sheraton Edinburgh,220,GBP
EMP001,TRIP-2405,AIR,2024-03-11,EDI,LHR,ECONOMY,,,BA,195,GBP
EMP005,TRIP-2406,AIR,2024-03-18,LHR,FRA,ECONOMY,,,Lufthansa,290,GBP
EMP005,TRIP-2406,AIR,2024-03-19,FRA,LHR,ECONOMY,,,Lufthansa,285,GBP
EMP002,TRIP-2407,AIR,2024-04-22,LHR,JFK,BUSINESS,,,,2500,GBP
EMP002,TRIP-2407,HOTEL,2024-04-22,,JFK,,,4,Westin Times Square,1600,USD
EMP002,TRIP-2407,AIR,2024-04-26,JFK,LHR,BUSINESS,,,,2300,GBP
