Posting Date,Plant,Material,Material Description,Movement Type,Quantity,Unit,Cost Center
2024-01-15,DE01,DIESEL-B7,Diesel B7 EN590,201,4500.000,L,CC-OPERATIONS
2024-01-22,DE01,DIESEL-B7,Diesel B7 EN590,201,3800.500,L,CC-OPERATIONS
2024-02-10,DE01,NATGAS-H,Natural Gas H-Grade,261,12500.000,KWH,CC-HEATING
2024-02-14,DE02,DIESEL-B7,Diesel B7 EN590,201,6200.000,L,CC-LOGISTICS
2024-03-05,DE01,DIESEL-B7,Diesel B7 EN590,201,4100.000,L,CC-OPERATIONS
2024-03-18,DE02,NATGAS-H,Natural Gas H-Grade,261,9800.000,KWH,CC-HEATING
2024-03-20,UK01,DIESEL-B7,Diesel B7 EN590,201,2900.000,L,CC-OPERATIONS
2024-04-08,DE01,DIESEL-B7,Diesel B7 EN590,201,4300.000,L,CC-OPERATIONS
2024-04-15,DE02,DIESEL-B7,Diesel B7 EN590,201,5100.000,L,CC-LOGISTICS
2024-05-02,UK01,NATGAS-H,Natural Gas H-Grade,261,7200.000,KWH,CC-HEATING
2024-05-20,DE01,DIESEL-B7,Diesel B7 EN590,201,3950.000,L,CC-OPERATIONS
2024-06-10,DE02,DIESEL-B7,Diesel B7 EN590,201,4800.000,L,CC-LOGISTICS
