account_number,meter_id,service_address,billing_start,billing_end,usage_kwh,peak_demand_kw,rate_schedule,total_charges_gbp
ACC-001234,MTR-DE01-A,Industriestrasse 12 Frankfurt,2024-01-17,2024-02-14,41200,185,HV-INDUSTRIAL,8240.00
ACC-001234,MTR-DE01-A,Industriestrasse 12 Frankfurt,2024-02-15,2024-03-15,38900,172,HV-INDUSTRIAL,7780.00
ACC-001234,MTR-DE01-A,Industriestrasse 12 Frankfurt,2024-03-16,2024-04-17,35600,158,HV-INDUSTRIAL,7120.00
ACC-001234,MTR-DE01-A,Industriestrasse 12 Frankfurt,2024-04-18,2024-05-16,29800,132,HV-INDUSTRIAL,5960.00
ACC-001234,MTR-DE01-A,Industriestrasse 12 Frankfurt,2024-05-17,2024-06-18,27400,121,HV-INDUSTRIAL,5480.00
ACC-005678,MTR-UK01-B,Unit 4 Slough Trading Estate,2024-01-10,2024-02-09,18500,82,MV-COMMERCIAL,4625.00
ACC-005678,MTR-UK01-B,Unit 4 Slough Trading Estate,2024-02-10,2024-03-11,17200,76,MV-COMMERCIAL,4300.00
ACC-005678,MTR-UK01-B,Unit 4 Slough Trading Estate,2024-03-12,2024-04-10,15900,70,MV-COMMERCIAL,3975.00
ACC-005678,MTR-UK01-B,Unit 4 Slough Trading Estate,2024-04-11,2024-05-13,12100,54,MV-COMMERCIAL,3025.00
ACC-005678,MTR-UK01-B,Unit 4 Slough Trading Estate,2024-05-14,2024-06-12,11400,50,MV-COMMERCIAL,2850.00
